(sake menu#positive),(food#positive),The sake menu should not be overlooked!
,(anecdotes/miscellaneous#positive),I would highly recommend.
,(anecdotes/miscellaneous#positive),This place is great.
(drinks#positive),(food#positive)(price#positive),the drinks are amazing and half off till 8pm.
(beef cubes#positive),(food#positive),i've been back to nha trang literally a hundred times for the beef cubes - they're that good.
,(anecdotes/miscellaneous#positive),"With so many poor experiences to be had in the theater district, is truly an excellent find!"
,(anecdotes/miscellaneous#negative),This has got to be one of the most overrated restaurants in Brooklyn.
(service#positive)(wine selection#positive)(ambiance#positive),(food#positive)(service#positive)(ambience#positive),"The service, wine selection, ambiance are all outstanding and deserve recognition."
,(anecdotes/miscellaneous#negative),"Went there last night for 2 year anniversery, and wasn't all that impressed."
,(service#negative),It was rather pathetic that it took them over an hour to seat us.
(reservations#positive)(service#negative),(service#conflict),"We were seated promptly as we had reservations, however after that the service was slow."
,(anecdotes/miscellaneous#neutral),At first I was slightly skeptical because it was a sushi restaurant in the middle of NYC.
(service#positive)(waiters#positive),(service#positive),"It's really also the service, is good and the waiters are friendly."
,(anecdotes/miscellaneous#positive),Suan was a recommendation that I am glad we heeded.
(food#conflict)(dessert#negative)(portions#negative),(food#conflict),"The food was pretty good, but a little flavorless and the portions very small, including dessert."
,(anecdotes/miscellaneous#neutral),We visit at least once a month.
(traffic noise#positive),(ambience#positive),"It is set far from the small street it's on, and there is no traffic noise."
,(ambience#neutral),"Also, the place is popular with families, so if you're bothered by children running loose like wild animals, come later at night to avoid them."
,(anecdotes/miscellaneous#neutral),I'll keep this short.
,(ambience#positive),I felt as though I were eating in Paris.
(food#positive),(anecdotes/miscellaneous#neutral)(food#positive),Lived in Shanghai most of my life and thought the food was comparable to the flagship Green Bo restaurant there.
(food#positive)(ambience#positive)(service#positive),(food#positive)(service#positive)(ambience#positive),"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service."
,(anecdotes/miscellaneous#negative),"However, it's not worth a special trip."
,(price#positive),Nice value.
,(anecdotes/miscellaneous#positive),Gigino's in Wagner Park is so enjoyable.
,(service#positive),And it was quick which is very important.
(dinner meeting#neutral),(anecdotes/miscellaneous#positive),This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.
(atmosphere#positive),(ambience#positive),All the NYU students love this place so it makes for a fun young atmosphere.
(food#positive)(Cantonese#positive),(food#positive),The food here does a great service to the name (Cantonese that is...).
(cooking#neutral),(food#neutral),"But, nothing stands out about the cooking."
(food#positive)(atmosphere#positive),(ambience#positive)(food#positive),Joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere.
,(anecdotes/miscellaneous#negative),"If that's a problem, go to McDonald's and destroy your insides."
(Prix Fixe menu#positive)(quantity#positive)(quality#positive),(food#positive)(price#positive),The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).
(lunch#neutral),(anecdotes/miscellaneous#positive),I've been here 3 times for lunch and it is one of my favorites in the city.
(eggs benedict#negative)(hollondaise sauce#negative)(brunch#neutral),(food#negative),"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was."
(oatmeal#positive),(food#positive),"I work near-by, and they have the BEST oatmeal in the neighborhood- not a packaged or quick-cooked item."
,(ambience#conflict),Always busy but fast moving.
(food#negative),(food#negative),Too bad the food wasn't of the same heritage.
(menu#positive)(Chilean Sea Bass#negative)(server#negative)(specials#neutral),(food#conflict)(service#negative),"The menu looked good, except for offering the Chilean Sea Bass, but the server does not offer up the specials that were written on the board outside."
,(anecdotes/miscellaneous#positive),Sexy.
(food#positive)(onion soup#positive),(food#positive),"The food was really good, I had the onion soup and it was one of the best ever."
,(anecdotes/miscellaneous#positive),"I will have to say, this Bengali Fast Food joint is clearly my favorite."
,(food#negative),I'm not picky - but it was actually gross.
(wine#neutral),(anecdotes/miscellaneous#positive)(price#positive),"overall, a solid restaurant and at less than $40pp (including wine), a solid deal as well."
(staff#positive),(service#positive)(ambience#negative),"Since it literally is a complete hole in the wall, it's a bit intimidating at first, but you get over that very quickly as soon as the friendly staff welcomes you - don't hesitate to ask for help with what to get."
(Dim Sum#negative)(dinner#positive),(food#conflict),"Based on the reviews for dinner, this is a place I would reconsider revisiting for that, but definitely not for Dim Sum again."
(roll#negative)(roll#negative)(roll#negative)(rice#neutral),(food#neutral)(price#negative),"It costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice."
,(anecdotes/miscellaneous#positive),"Even with John's and Joe's around the corner, this place will make a name for itself."
,(food#positive),"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery."
(gin and tonic#neutral)(tonic#neutral),(service#negative),"When he finally did, he was unable to make a gin and tonic -- couldn't find tonic."
,(anecdotes/miscellaneous#neutral),My girlfriend convinced me to go in the other night for a quick bite.
(dim sum#negative)(little dishes#negative),(food#negative),"The dim sum is ok but doesn't taste that fresh, and the little dishes don't look steamy hot as they should (also note lack of Chinese here)."
,(anecdotes/miscellaneous#neutral),despite the untasteful previous review...
,(anecdotes/miscellaneous#positive),"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart."
,(anecdotes/miscellaneous#neutral),"Sure, everyone's got their favorite, but to know Sal, is to know New York."
,(anecdotes/miscellaneous#positive),I think that it is absolutely brilliant and well runned business operation.
,(price#negative),Also they were $15 each!
(service#neutral),(service#conflict),"The service is ok, some of the people didn't get what they asked for."
,(anecdotes/miscellaneous#neutral),"My friends spoke so much about it for months, I finally made the time to come down ear and dine in."
(Thai#negative),(food#negative),If you want good authentic Thai this place is not the place to go.
(reservation#neutral),(anecdotes/miscellaneous#neutral),I recommend getting a reservation even though we saw people seated without one.
(Grilled Chicken special with Edamame Puree#neutral),(food#neutral),The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.
,(anecdotes/miscellaneous#neutral),This is as good as neighborhood restaurants come.
